2025-02-26 22:15:20 INFO     Generating Simulations...
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [59, 1, 0.2337026596069336]
2025-02-26 22:15:26 INFO     [59, 1, 0.6380700469017029]
2025-02-26 22:15:26 INFO     Update learning rate: 0.00857375
2025-02-26 22:15:26 INFO     [60, 1, 0.44735419750213623]
2025-02-26 22:15:26 INFO     [60, 1, 0.5461826920509338]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [61, 1, 0.289578378200531]
2025-02-26 22:15:26 INFO     [61, 1, 0.4758075475692749]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [62, 1, 0.2834637761116028]
2025-02-26 22:15:26 INFO     [62, 1, 0.4332703948020935]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [63, 1, 0.14099927246570587]
2025-02-26 22:15:26 INFO     [63, 1, 0.4479978084564209]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [64, 1, 0.3044840097427368]
2025-02-26 22:15:26 INFO     [64, 1, 0.38374799489974976]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [65, 1, 9.115415573120117]
2025-02-26 22:15:26 INFO     [65, 1, 0.42882585525512695]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [66, 1, 0.31854748725891113]
2025-02-26 22:15:26 INFO     [66, 1, 0.6931897401809692]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [67, 1, 70.76638793945312]
2025-02-26 22:15:26 INFO     [67, 1, 1.321191430091858]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [68, 1, 1.76361083984375]
2025-02-26 22:15:26 INFO     [68, 1, 6.991491794586182]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [69, 1, 1.7274045944213867]
2025-02-26 22:15:26 INFO     [69, 1, 2.317221164703369]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [70, 1, 1.1012845039367676]
2025-02-26 22:15:26 INFO     [70, 1, 1.0390199422836304]
2025-02-26 22:15:26 INFO     Update learning rate: 0.0081450625
2025-02-26 22:15:26 INFO     [71, 1, 0.41498053073883057]
2025-02-26 22:15:26 INFO     [71, 1, 0.7203109860420227]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [72, 1, 2.0285565853118896]
2025-02-26 22:15:27 INFO     [72, 1, 0.6113213300704956]
2025-02-26 22:15:27 INFO     Update learning rate: 0.007737809374999999
2025-02-26 22:15:27 INFO     [73, 1, 0.7551758885383606]
2025-02-26 22:15:27 INFO     [73, 1, 0.4535502791404724]
